
SPDR S&P 500 ETF Trust,Last: 388.67,Change:  -0.32
"Date: July 9, 2022 at 5:28 p.m. EDT",Bid: 388.68,Ask: 388.8,Size: 5*1,"Volume: 72,373,012"
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Jul 11 2022,SPY220711C00359000,21.54,0,29.51,30.56,0,0.581,0.9967,0.0008,23,359.00,SPY220711P00359000,0.02,-0.015,0.01,0.02,30,0.3375,-0.0031,0.0008,1270
Mon Jul 11 2022,SPY220711C00360000,28.96,0.125,28.51,29.56,7,0.5648,0.9964,0.0009,376,360.00,SPY220711P00360000,0.01,-0.035,0.01,0.02,1649,0.327,-0.0034,0.0009,18307
Mon Jul 11 2022,SPY220711C00361000,21.99,0,27.51,28.56,0,0.5476,0.9961,0.001,85,361.00,SPY220711P00361000,0.01,-0.035,0.01,0.02,801,0.3165,-0.0037,0.001,3509
Mon Jul 11 2022,SPY220711C00362000,20.55,0,26.51,27.56,0,0.5319,0.9958,0.0011,443,362.00,SPY220711P00362000,0.02,-0.035,0.01,0.02,1107,0.306,-0.0041,0.0011,2206
Mon Jul 11 2022,SPY220711C00363000,22.31,0,25.51,26.56,0,0.5152,0.9954,0.0012,55,363.00,SPY220711P00363000,0.01,-0.055,0.01,0.02,491,0.2954,-0.0045,0.0012,2115
Mon Jul 11 2022,SPY220711C00364000,22.86,-2.01,24.51,25.56,1,0.4988,0.9949,0.0014,1238,364.00,SPY220711P00364000,0.01,-0.055,0.01,0.02,697,0.2849,-0.0049,0.0014,2909
Mon Jul 11 2022,SPY220711C00365000,22.65,-1.23,23.51,24.56,22,0.4817,0.9944,0.0016,284,365.00,SPY220711P00365000,0.02,-0.055,0.01,0.02,2505,0.2744,-0.0054,0.0016,4839
Mon Jul 11 2022,SPY220711C00366000,22.84,-0.05,22.51,23.57,20,0.463,0.9939,0.0018,171,366.00,SPY220711P00366000,0.02,-0.065,0.02,0.03,1033,0.2642,-0.006,0.0018,2781
Mon Jul 11 2022,SPY220711C00367000,20.55,-1.36,21.52,22.57,18,0.4472,0.9932,0.002,25,367.00,SPY220711P00367000,0.02,-0.075,0.02,0.03,1913,0.2686,-0.0066,0.002,1374
Mon Jul 11 2022,SPY220711C00368000,20.91,0.01,20.52,21.57,11,0.4322,0.9925,0.0023,433,368.00,SPY220711P00368000,0.03,-0.075,0.02,0.03,8354,0.2575,-0.0074,0.0023,2600
Mon Jul 11 2022,SPY220711C00369000,20.04,0.1,19.52,20.57,81,0.4134,0.9916,0.0026,117,369.00,SPY220711P00369000,0.02,-0.105,0.02,0.03,5475,0.2464,-0.0082,0.0026,2458
Mon Jul 11 2022,SPY220711C00370000,20.18,1.26,18.53,19.57,49,0.3969,0.9906,0.003,538,370.00,SPY220711P00370000,0.03,-0.115,0.02,0.03,5468,0.2353,-0.0093,0.003,6681
Mon Jul 11 2022,SPY220711C00371000,18.46,0.48,17.53,18.57,8,0.3817,0.9893,0.0034,265,371.00,SPY220711P00371000,0.03,-0.135,0.02,0.03,9271,0.2241,-0.0105,0.0034,1408
Mon Jul 11 2022,SPY220711C00372000,18.05,1.055,16.54,17.58,6,0.3665,0.9878,0.004,837,372.00,SPY220711P00372000,0.03,-0.155,0.03,0.04,5974,0.2221,-0.012,0.004,1911
Mon Jul 11 2022,SPY220711C00373000,15.72,-0.315,15.54,16.58,153,0.3531,0.9858,0.0048,652,373.00,SPY220711P00373000,0.03,-0.195,0.03,0.04,3718,0.2105,-0.014,0.0048,2254
Mon Jul 11 2022,SPY220711C00374000,15.11,0.04,14.55,15.59,71,0.343,0.9833,0.0057,1481,374.00,SPY220711P00374000,0.05,-0.205,0.04,0.05,4252,0.206,-0.0165,0.0057,1689
Mon Jul 11 2022,SPY220711C00375000,14.04,-0.055,13.73,14.34,348,0.3233,0.98,0.0069,2082,375.00,SPY220711P00375000,0.05,-0.255,0.04,0.05,7136,0.1974,-0.0198,0.0069,6935
Mon Jul 11 2022,SPY220711C00376000,12.94,-0.215,12.97,13.21,153,0.3029,0.9755,0.0084,1685,376.00,SPY220711P00376000,0.06,-0.3,0.05,0.06,5282,0.1861,-0.0243,0.0084,1871
Mon Jul 11 2022,SPY220711C00377000,12.89,0.67,11.98,12.23,152,0.287,0.9695,0.0105,860,377.00,SPY220711P00377000,0.07,-0.355,0.07,0.08,3353,0.1786,-0.0304,0.0105,2844
Mon Jul 11 2022,SPY220711C00378000,10.98,-0.325,11,11.25,241,0.2705,0.9614,0.0131,2249,378.00,SPY220711P00378000,0.09,-0.42,0.09,0.1,6680,0.1731,-0.0385,0.0131,2950
Mon Jul 11 2022,SPY220711C00379000,9.79,-0.605,10.03,10.27,385,0.2567,0.9505,0.0165,1498,379.00,SPY220711P00379000,0.12,-0.485,0.11,0.12,8399,0.1671,-0.0493,0.0165,4414
Mon Jul 11 2022,SPY220711C00380000,9.16,-0.355,9.07,9.31,920,0.2415,0.9362,0.0207,2659,380.00,SPY220711P00380000,0.16,-0.565,0.16,0.17,30524,0.164,-0.0636,0.0208,9586
Mon Jul 11 2022,SPY220711C00381000,7.94,-0.705,8.13,8.37,590,0.2311,0.9175,0.0259,2801,381.00,SPY220711P00381000,0.22,-0.635,0.21,0.22,11520,0.1579,-0.0823,0.0259,3999
Mon Jul 11 2022,SPY220711C00382000,7.19,-0.62,7.21,7.45,1619,0.2183,0.8936,0.0321,2158,382.00,SPY220711P00382000,0.28,-0.74,0.28,0.29,15390,0.1548,-0.1063,0.0321,2969
Mon Jul 11 2022,SPY220711C00383000,6.12,-0.87,6.31,6.55,1218,0.2041,0.8632,0.0393,1399,383.00,SPY220711P00383000,0.4,-0.805,0.38,0.39,17554,0.1509,-0.1367,0.0394,2951
Mon Jul 11 2022,SPY220711C00384000,5.48,-0.73,5.44,5.67,696,0.1973,0.8254,0.0474,1790,384.00,SPY220711P00384000,0.51,-0.92,0.51,0.52,22587,0.1459,-0.1745,0.0475,3293
Mon Jul 11 2022,SPY220711C00385000,4.63,-0.86,4.6,4.75,5179,0.1865,0.7791,0.0562,3955,385.00,SPY220711P00385000,0.68,-0.995,0.67,0.68,91506,0.1439,-0.2208,0.0562,5511
Mon Jul 11 2022,SPY220711C00386000,3.86,-0.925,3.8,3.98,9719,0.1786,0.7236,0.065,3141,386.00,SPY220711P00386000,0.88,-1.1,0.88,0.89,46607,0.1386,-0.2763,0.0651,5368
Mon Jul 11 2022,SPY220711C00387000,3.14,-0.98,3.06,3.27,22246,0.1726,0.6586,0.0733,2875,387.00,SPY220711P00387000,1.12,-1.205,1.13,1.14,73984,0.1352,-0.3414,0.0734,3914
Mon Jul 11 2022,SPY220711C00388000,2.5,-0.99,2.43,2.56,51581,0.1646,0.5846,0.08,4775,388.00,SPY220711P00388000,1.46,-1.235,1.46,1.47,85964,0.13,-0.4153,0.08,5458
Mon Jul 11 2022,SPY220711C00389000,1.89,-1.045,1.89,1.91,73602,0.1582,0.5035,0.0839,4494,389.00,SPY220711P00389000,1.88,-1.255,1.86,1.88,75050,0.1243,-0.4965,0.084,2876
Mon Jul 11 2022,SPY220711C00390000,1.43,-0.995,1.4,1.41,176962,0.1536,0.4186,0.084,6914,390.00,SPY220711P00390000,2.38,-1.255,2.37,2.41,56596,0.1207,-0.5814,0.084,2296
Mon Jul 11 2022,SPY220711C00391000,1.01,-0.965,1.01,1.02,60881,0.1501,0.3351,0.0795,3343,391.00,SPY220711P00391000,3.1,-1.09,2.89,3.1,6983,0.114,-0.665,0.0796,713
Mon Jul 11 2022,SPY220711C00392000,0.7,-0.89,0.7,0.71,49560,0.1463,0.2585,0.0712,2202,392.00,SPY220711P00392000,3.67,-1.135,3.58,3.79,1044,0.1039,-0.7416,0.0713,755
Mon Jul 11 2022,SPY220711C00393000,0.48,-0.785,0.48,0.49,36817,0.1434,0.1928,0.0604,4117,393.00,SPY220711P00393000,4.55,-0.92,4.35,4.57,1563,0.0872,-0.8074,0.0605,264
Mon Jul 11 2022,SPY220711C00394000,0.33,-0.655,0.32,0.33,20469,0.1419,0.1391,0.0488,2727,394.00,SPY220711P00394000,5.38,-0.83,5.17,5.41,399,0,-0.8611,0.0489,146
Mon Jul 11 2022,SPY220711C00395000,0.22,-0.545,0.21,0.22,31376,0.1426,0.0973,0.0377,5526,395.00,SPY220711P00395000,6.26,-0.71,6.05,6.3,1600,0.02,-0.903,0.0378,251
Mon Jul 11 2022,SPY220711C00396000,0.13,-0.455,0.13,0.14,9866,0.1404,0.066,0.028,2925,396.00,SPY220711P00396000,6.91,-0.88,6.98,7.22,687,0.02,-0.9344,0.0281,51
Mon Jul 11 2022,SPY220711C00397000,0.09,-0.345,0.08,0.09,7025,0.1418,0.0436,0.02,1740,397.00,SPY220711P00397000,8.12,-0.525,7.92,8.17,1096,0.02,-0.9569,0.0202,340
Mon Jul 11 2022,SPY220711C00398000,0.05,-0.285,0.05,0.06,5555,0.1409,0.0283,0.0139,2664,398.00,SPY220711P00398000,9.04,-0.495,8.89,9.14,668,0.02,-0.9723,0.0141,37
Mon Jul 11 2022,SPY220711C00399000,0.03,-0.215,0.03,0.04,2987,0.1398,0.0183,0.0095,1274,399.00,SPY220711P00399000,9.77,-0.675,9.87,10.12,316,0.02,-0.9823,0.0096,122
Mon Jul 11 2022,SPY220711C00400000,0.02,-0.155,0.02,0.03,24609,0.1464,0.0121,0.0065,12283,400.00,SPY220711P00400000,10.94,-0.435,10.74,11.34,249,0.02,-0.9886,0.0067,240
Mon Jul 11 2022,SPY220711C00401000,0.02,-0.105,0.01,0.02,4397,0.1491,0.0084,0.0046,1534,401.00,SPY220711P00401000,13.06,0.725,11.46,12.51,30,0.02,-0.9923,0.0048,23
Mon Jul 11 2022,SPY220711C00402000,0.01,-0.085,0.01,0.02,2236,0.1514,0.0062,0.0034,880,402.00,SPY220711P00402000,13.94,0.65,12.46,13.51,11,0.02,-0.9945,0.0036,120
Mon Jul 11 2022,SPY220711C00403000,0.01,-0.055,0,0.01,1692,0.143,0.005,0.0027,1125,403.00,SPY220711P00403000,13.77,-0.49,13.46,14.51,14,0.02,-0.9958,0.0028,123
Mon Jul 11 2022,SPY220711C00404000,0.01,-0.035,0,0.01,722,0.152,0.0042,0.0022,1274,404.00,SPY220711P00404000,14.51,-0.73,14.46,15.51,130,0.02,-0.9966,0.0023,72
Mon Jul 11 2022,SPY220711C00405000,0.01,-0.025,0,0.01,2625,0.1614,0.0036,0.0019,3490,405.00,SPY220711P00405000,16.13,-0.08,15.46,16.51,35,0.02,-0.9971,0.002,31
Mon Jul 11 2022,SPY220711C00406000,0.02,-0.005,0,0.01,362,0.1703,0.0033,0.0016,1865,406.00,SPY220711P00406000,16.62,-0.575,16.46,17.51,1,0.02,-0.9975,0.0017,31
Mon Jul 11 2022,SPY220711C00407000,0.01,-0.005,0,0.01,90,0.1791,0.003,0.0014,1568,407.00,SPY220711P00407000,30,0,17.45,18.51,0,0.02,-0.9977,0.0015,75
Mon Jul 11 2022,SPY220711C00408000,0.01,-0.005,0,0.01,502,0.1874,0.0027,0.0013,1114,408.00,SPY220711P00408000,19.35,0.16,18.45,19.51,25,0.02,-0.998,0.0014,27
Mon Jul 11 2022,SPY220711C00409000,0.01,-0.005,0,0.01,7,0.1961,0.0025,0.0011,4208,409.00,SPY220711P00409000,42.35,0,19.49,20.42,0,0.02,-0.9981,0.0012,0
Mon Jul 11 2022,SPY220711C00410000,0.01,0.005,0,0.01,103,0.2048,0.0024,0.001,3009,410.00,SPY220711P00410000,22.61,1.425,20.45,21.51,27,0.02,-0.9983,0.0011,4
Mon Jul 11 2022,SPY220711C00411000,0.01,0,0,0.01,0,0.2134,0.0022,0.0009,651,411.00,SPY220711P00411000,24.37,0,21.45,22.51,0,0.02,-0.9984,0.001,2
Mon Jul 11 2022,SPY220711C00412000,0.01,0.005,0,0.01,5,0.2219,0.0021,0.0008,784,412.00,SPY220711P00412000,23.23,0.05,22.45,23.51,1,0.02,-0.9986,0.0009,2
Mon Jul 11 2022,SPY220711C00413000,0.01,0,0,0.01,0,0.2304,0.002,0.0008,312,413.00,SPY220711P00413000,39.14,0,23.45,24.51,0,0.02,-0.9987,0.0008,14
Mon Jul 11 2022,SPY220711C00414000,0.01,0.005,0,0.01,10,0.2388,0.0018,0.0007,504,414.00,SPY220711P00414000,38.76,0,24.45,25.51,0,0.02,-0.9988,0.0008,1
Mon Jul 11 2022,SPY220711C00415000,0.01,0.005,0,0.01,15,0.2476,0.0017,0.0006,596,415.00,SPY220711P00415000,37.38,0,25.45,26.51,0,0.02,-0.9989,0.0007,3
Mon Jul 11 2022,SPY220711C00416000,0.01,0,0,0.01,0,0.2555,0.0016,0.0006,543,416.00,SPY220711P00416000,42,0,26.58,27.48,0,0.02,-0.999,0.0006,0
Mon Jul 11 2022,SPY220711C00417000,0.01,0,0,0.01,0,0.2638,0.0016,0.0006,490,417.00,SPY220711P00417000,25.9,0,27.58,28.48,0,0.02,-0.999,0.0006,0
Mon Jul 11 2022,SPY220711C00418000,0.01,0,0,0.01,0,0.2721,0.0015,0.0005,359,418.00,SPY220711P00418000,38.15,0,28.58,29.48,0,0.02,-0.9991,0.0006,0
Mon Jul 11 2022,SPY220711C00419000,0.01,0,0,0.01,0,0.2803,0.0014,0.0005,266,419.00,SPY220711P00419000,14.81,0,29.58,30.48,0,0.02,-0.9992,0.0005,0
Mon Jul 11 2022,SPY220711C00420000,0.01,0,0,0.01,0,0.2885,0.0014,0.0004,1063,420.00,SPY220711P00420000,41.2,0,30.58,31.48,0,0.02,-0.9992,0.0005,0
Mon Jul 11 2022,SPY220711C00421000,0.01,0,0,0.01,0,0.2966,0.0013,0.0004,311,421.00,SPY220711P00421000,35.83,0,31.45,32.51,0,0.02,-0.9993,0.0005,7
Mon Jul 11 2022,SPY220711C00422000,0.01,0,0,0.01,0,0.305,0.0012,0.0004,44,422.00,SPY220711P00422000,54.94,0,32.58,33.48,0,0.02,-0.9994,0.0004,0
Mon Jul 11 2022,SPY220711C00423000,0.01,0,0,0.01,0,0.3127,0.0012,0.0004,94,423.00,SPY220711P00423000,15.8,0,33.58,34.48,0,0.02,-0.9994,0.0004,0
Mon Jul 11 2022,SPY220711C00424000,0.01,0,0,0.01,0,0.3208,0.0011,0.0003,43,424.00,SPY220711P00424000,46.18,0,34.58,35.48,0,0.02,-0.9994,0.0004,0
Mon Jul 11 2022,SPY220711C00425000,0.01,0,0,0.01,0,0.3287,0.0011,0.0003,131,425.00,SPY220711P00425000,46.39,0,35.58,36.48,0,0.02,-0.9995,0.0004,0
Mon Jul 11 2022,SPY220711C00426000,0.04,0,0,0.01,0,0.3367,0.001,0.0003,60,426.00,SPY220711P00426000,52.15,0,36.45,37.51,0,0.02,-0.9995,0.0003,1
Mon Jul 11 2022,SPY220711C00427000,0.01,0,0,0.01,0,0.3446,0.001,0.0003,108,427.00,SPY220711P00427000,47.6,0,37.58,38.48,0,0.02,-0.9996,0.0003,0
Mon Jul 11 2022,SPY220711C00428000,0.11,0,0,0.01,0,0.3525,0.001,0.0003,19,428.00,SPY220711P00428000,62.15,0,38.58,39.48,0,0.02,-0.9996,0.0003,0
Mon Jul 11 2022,SPY220711C00429000,0.01,0,0,0.01,0,0.3603,0.0009,0.0002,189,429.00,SPY220711P00429000,53.44,0,39.58,40.48,0,0.02,-0.9996,0.0003,0
Mon Jul 11 2022,SPY220711C00430000,0.01,0,0,0.01,0,0.3685,0.0009,0.0002,147,430.00,SPY220711P00430000,54.32,0,40.45,41.51,0,0.02,-0.9996,0.0003,4
Mon Jul 11 2022,SPY220711C00431000,0.01,0,0,0.01,0,0.3763,0.0008,0.0002,456,431.00,SPY220711P00431000,0,0,41.58,42.48,0,0.02,-0.9997,0.0002,0
Mon Jul 11 2022,SPY220711C00432000,0.01,0,0,0.01,0,0.384,0.0008,0.0002,150,432.00,SPY220711P00432000,0,0,42.66,43.41,0,0.02,-0.9997,0.0002,0
Mon Jul 11 2022,SPY220711C00433000,0,0,0,0.01,0,0.3918,0.0008,0.0002,0,433.00,SPY220711P00433000,0,0,43.66,44.41,0,0.02,-0.9997,0.0002,0
Mon Jul 11 2022,SPY220711C00434000,0.04,0,0,0.01,0,0.3994,0.0008,0.0002,46,434.00,SPY220711P00434000,70.12,0,44.58,45.48,0,0.02,-0.9998,0.0002,0
Mon Jul 11 2022,SPY220711C00435000,0.01,0,0,0.01,0,0.4071,0.0007,0.0002,122,435.00,SPY220711P00435000,61.44,0,45.58,46.48,0,0.02,-0.9998,0.0002,0
Mon Jul 11 2022,SPY220711C00436000,0.01,0,0,0.01,0,0.4147,0.0007,0.0002,24,436.00,SPY220711P00436000,0,0,46.58,47.48,0,0.02,-0.9998,0.0002,0
Mon Jul 11 2022,SPY220711C00437000,0.01,0,0,0.01,0,0.4223,0.0007,0.0002,668,437.00,SPY220711P00437000,56.74,0,47.58,48.48,0,0.02,-0.9998,0.0001,0
Mon Jul 11 2022,SPY220711C00438000,0.01,0,0,0.01,0,0.4299,0.0006,0.0002,354,438.00,SPY220711P00438000,0,0,48.58,49.48,0,0.02,-0.9998,0.0001,0
Mon Jul 11 2022,SPY220711C00439000,0.01,0,0,0.01,0,0.437,0.0006,0.0001,152,439.00,SPY220711P00439000,0,0,49.58,50.48,0,0.02,-0.9998,0.0001,0
Mon Jul 11 2022,SPY220711C00440000,0.01,0,0,0.01,0,0.4449,0.0006,0.0001,279,440.00,SPY220711P00440000,32.72,0,50.45,51.51,0,0.02,-0.9999,0.0001,46
Mon Jul 11 2022,SPY220711C00441000,0,0,0,0.01,0,0.452,0.0006,0.0001,0,441.00,SPY220711P00441000,0,0,51.58,52.48,0,0.02,-0.9999,0.0001,0
Mon Jul 11 2022,SPY220711C00442000,0.01,0,0,0.01,0,0.4594,0.0006,0.0001,3021,442.00,SPY220711P00442000,0,0,52.58,53.48,0,0.02,-0.9999,0.0001,0
Mon Jul 11 2022,SPY220711C00443000,0,0,0,0.01,0,0.4669,0.0005,0.0001,0,443.00,SPY220711P00443000,0,0,53.58,54.48,0,0.02,-0.9999,0.0001,0
Mon Jul 11 2022,SPY220711C00444000,0.01,0,0,0.01,0,0.4743,0.0005,0.0001,1060,444.00,SPY220711P00444000,0,0,54.66,55.41,0,0.02,-0.9999,0.0001,0
Mon Jul 11 2022,SPY220711C00445000,0.01,0,0,0.01,0,0.4816,0.0005,0.0001,463,445.00,SPY220711P00445000,0,0,55.58,56.48,0,0.02,-0.9999,0.0001,0
Mon Jul 11 2022,SPY220711C00446000,0.01,0,0,0.01,0,0.489,0.0005,0.0001,659,446.00,SPY220711P00446000,45.28,0,56.58,57.48,0,0.02,-0.9999,0,0
Mon Jul 11 2022,SPY220711C00448000,0.01,0,0,0.01,0,0.504,0.0004,0.0001,130,448.00,SPY220711P00448000,60.66,1.485,58.58,59.48,2,0.02,-0.9999,0,0
Mon Jul 11 2022,SPY220711C00450000,0.01,0,0,0.01,0,0.5185,0.0004,0.0001,265,450.00,SPY220711P00450000,62.49,1.315,60.58,61.48,2,0.02,-1,0,0
Mon Jul 11 2022,SPY220711C00452000,0.01,0,0,0.01,0,0.5329,0.0004,0.0001,273,452.00,SPY220711P00452000,67.51,0,62.45,63.51,0,0.02,-1,0,1
Mon Jul 11 2022,SPY220711C00454000,0.02,0,0,0.01,0,0.5472,0.0004,0.0001,13,454.00,SPY220711P00454000,0,0,64.58,65.48,0,0.02,-1,0,0
Mon Jul 11 2022,SPY220711C00455000,0.01,0,0,0.01,0,0.5543,0.0004,0.0001,8,455.00,SPY220711P00455000,0,0,65.58,66.48,0,0.02,-1,0,0
